category,product_description
Household,"Ekta - Jewellery Boutique (Sr), Multi Color Give your girls wings of creativity and imagination with this kit exciting kit that allows you to create your own designer jewellery the kit includes colourful acrylic beads loops clasps ear loops etc."
Household,"Beadsnfashion German Silver Tortoise Beads Golden 13x12 mm for DIY Jewellery Making and Crafts, Pack of 25 Pcs Available in a pack of 25 Pcs."
Household,"Satyam Kraft moti (Off-White) (6 mm)1200 PCS Pearl, Crafts Artificial Pearl Beads for Beading DIY Jewellery Size:6 mm   Pep up your special occasion jewellery collection by designing your own stunning pearl accessories with plastic pearl beads. There is a hole in the centre of each sized pearl to thread a string through if needed. These pearls can be used for several other purposes as well."
Household,"DI GRAZIA Metal Paris Eiffel Tower Page Holder Charm (Copper) Di Grazia brings you a range of Toys, Puzzles, Kids Bags, School Supplies and accessories. Its authentic and Non-Toxic, Completely Child safe. This mesmerising Eiffel Tower Bookmark Charm is made of metal and comes in the shade of Copper. Light weight paper office clip in the shape of ParisÂ’s most famous architecture has a small round transparent pendant charm tassel, which has a picture of Eiffel tower inside it. This bookmark Charm, Page holder will make any read more delightful and bright, making it an ideal gift for every occasion."
Household,"Generic 50Pcs Tibetan Silver Flowers Charms Pendant Beads For Jewellery Making Description: Antique flower-shaped pendants Exquisite and fine workmanship Can be used as charms or necklace pendants Suitable for both man and woman to wear Length: Approx. Ã‚Â 0.40--0.87inch / 10--22mm Hole Diameter: Approx. 0.08--0.12 inch / 2--3mm Material: Alloy Color: Silver Package Includes: 50pcs flower shaped pendants Note: Please be reminded that due to lighting effects and monitor's brightness/contrast settings etc, the color tone of the website's photo and the actual item could be slightly different."
Household,"Yellow Chimes Inspirational Message Steel by Yellow Chimes Charm Bracelet for Women (Silver)(YCSSBR 220BRVR SL) Yellow Chimes brings you a new range of Fashion Steel Jewellery - Designer, Classy, Charming, Elegant, Appealing, Affordable, Casual as well as party wear, Pocket-friendly, Superb quality, High quality plating, Skin friendly, Non-allergic, Attractive, Mesmerising"
Household,"Yellow Chimes Jolly Charms 925 Silver Plated (hallmarked) Charm Bracelet for Girls & Women Yellow Chimes gives its own unique designs to renowned jewellery manufacturers all over the world and brings exclusive Jewellery to you. The price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemporary Fashion Jewellery is made available at very reasonable prices to our valuable customers. So, buy with confidence. ""One thing we can ensure is that our products are liked so much by people that definitely it will bring the smile on your face too."""
Household,"Charms Rudraksh American Diamond Gold Meena Om Sun Cuff Kada Bracelet for Men (Golden)(BR-03E Bracelet) This men's bracelet comes with rudraksh American diamond gold om sun cuff kada, gold colour plating which is of premium quality. High quality golden color alloy charm and golden beads. The bracelet is beaded by rudraksha for perfect fit."
Household,"Satyam Kraft Vintage Assorted Pendants Charms (30 Piece) A wonderful set of Vintage Bronze Charms Pendants Each bag of 100 g charms ( approx. 30 pcs ) is for a random selection,very similar to the charms depicted in the photo Can be used to make necklaces,bracelets,anklets,other jewelry projects,steampunk creations,wedding decorations,and scrapbooking Can be used as decorative zippers,also be used as other hand-crafted creative DIY accessories"
Household,"Imported Pack 100 pcs Assorted Shape Alloy Pendant Charm-15010181MG Description: Mixed shape pendant charms Material: Alloy Color: Tibetan Silver Size: Approx. 0.31-1.18 inch / 8 -30 mm Hole Diameter: Approx. 1.5- 2.5mm Quantities: Approx. 100 pcs Note: Mixed styles, some styles probably be same,assorted sizes and random delivery Package Includes: Pack of APPROX . 100pcs Alloy Pendants Note: Please be reminded that due to lighting effects and monitor's brightness/contrast settings etc, the color tone of the website's photo and the actual item could be slightly different."
Household,"Generic Dreamcatcher with White Stone & Feather Charm Keyring Key Chain Keyfob Description:100% Brand New And High qualityIt is a good gift for your lover,family,friend and coworkersBeautiful and attractive,Make you charmer and elegantMaterial:Alloy,White StoneTotal Length: 17CMRing Size: 2.3cmPackage include:1pc Keyring"
Household,"Shining Diva Fashion Charm Bracelet for Girls (Gold)(8306b) Shining Diva presents this Genuine High Quality 18K Rose Gold plated bangle bracelet for girls and women. This bracelet can be used by girls as daily wear or party wear. Shining Diva is a well known brand across fashion jewellery sector. Shining Diva products are stylish and funky. This gold plated jewellery is studded with crystals stones. Shining Diva has huge collection of latest jewellery accessories. Shining Diva is pioneer of Imitation jewelleries and designer crystal pendent for girls. Shining Diva Fashion and Traditional jewelry give true value for your money. Buy Shining Diva trendy, artificial and semi precious jewellery from Amazon. These are also ideal for birthday gifts for girls, gift for girlfriend, wedding gifts and anniversary gifts."
Household,"Yellow Chimes Circles of Love Stylish Crystal Charm Bracelet for Women and Girls Yellow Chimes brings exclusive Fashion Jewellery designs to you from renowned jewellery manufacturers all over the world. The Best Price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemprary Fashion Jewellery is made available at very reasonable prices to our valuable customers."
Household,"Generic 50Pcs Tibetan Silver Leaves Charms Pendant Beads For Jwellery Making Description: Antique leaves-shaped pendants Exquisite and fine workmanship Can be used as charms or necklace pendants Suitable for both man and woman to wear Length: Approx. Ã‚Â 0.47--1.38inch / 12--35mm Hole Diameter: Approx. 0.08--0.12 inch / 2--3mm Material: Alloy Color: Silver Package Includes: Approx. 50pcs leaves shaped pendants Note: Please be reminded that due to lighting effects and monitor's brightness/contrast settings etc, the color tone of the website's photo and the actual item could be slightly different."
Household,"Generic Dreamcatcher With Black Agate & Feather Charm Keyring - Black And Silver Description: 100% Brand New And High quality It is a good gift for your lover,family,friend and coworkers Beautiful and attractive,Make you charmer and elegant Material:Alloy,Black Agate Total Length: 18.5CM Ring Size: 2.3cm Package include: 1pc Keyring"
Household,"SUPVOX 80Pcs Wholesale Bulk Lots Jewelry Making Charms Mixed Alloy Charms Pendants for Necklace Bracelet Jewelry Finding and Crafting (Ancient Bronze, Mixed) DescriptionThis is a cute bracelet pendants with special design for men, women, boys and girls. With exquisite workmanship, it is suitable for multiple occassions. It is a unique accessory that organizes your keys or clip it to your bag, purse, backpack, etc. And it looks very cute when you put this on your handbag.Feature- Color: Ancient bronze.- Material: Alloy.- Size: Approx. 4cm (diameter).- Made of premium material with maximum endurance for durable and long-lasting use.- Scratch and wear resistance.- With exquisite workmanship, it is suitable for multiple occassions. It is a unique accessory that organizes your keys or clip it to your bag, purse, backpack, etc.- And it looks very cute when you put this on your handbag.Package Including80 x Pendants"
Household,"Yellow Chimes 18K Rose Gold Plated Butterfly Dual Charm Pendant for Girls and Women YELLOW CHIMES gives its own unique designs to renowned jewellery manufacturers all over the world and brings exclusive Jewellery to you. The reasonable price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemprary Fashion Jewellery is made available at very reasonable prices to our valuable customers. So, buy with confidence! One thing we can ensure is that our products are liked so much by people that definitely it will bring the smile on your face too."
Household,Charms Diva Silver Alloy Anklet for Girls & Women (Silver)(ANK171) Charms products are made from high quality alloy and nickle free polish. Charms products are ideally suited for party as well as casual wear.
Household,Charms Anklet for Women (Silver)(CR0251-285ef) Show off your fabulous fashion sense as you adorn your feet with these uniquely crafted anklets from charms. A cropped trouser or tea-length skirt will be the perfect way to flaunt them.
Household,"Ustraa Hair Wax-Wet Look For Hair Styling, 100g Formulated with natural ingredients, use Hair wax to get a long lasting wet and shiny look. Baobab fruit extract present in the hair wax moisturises the hair and leaves it shiny. It also helps repaird dry and damaged hair. Hazelnut oil helps inproviding nourishement and strength to the hair. It also helps in reducing friziness of hair, thus assisting in hait styling. Beeswax not only helps in making a long lasting hair style but also acts as a shield against harmful UV radiations. This Hair Wax is SLS and paraben free and contains no harmful chemicals.For hair styling, apply on your hair & style as desired."
Household,"Schwarzkopf Professional Osis Flexwax, 85ml Flexwax ultra strong texture and separation control cream wax."
Household,"Rica Brazilian Wax with Avocado Butter for Bikini and Face, 28.2oz A high performance wax formulated for though bikini waxing. The formulation allows for a thinner application of wax resulting in a less painful, more comfortable treatment."
Household,"Brylcreem Hair Wax - Restyling & Matte Texture, 80 gm Why Brylcreem’s Bold Hold Hair Wax - Brylcreem’s Bold Hold Hair Wax is no ordinary wax. It’s a re-styler that gives you bold hold, precision styling and structure, along with matte texture. It contains a blend of ingredients that will take care of your hair while giving it the bold hold it needs, keeping it looking neat and clean. And the fragrance is a real bonus. What’s in the Mix - The natural goodness of Coconut Oil, Aloe Vera Oil and Almond Oil with the power of polymers to lock in your hairstyle for longer hours. Contains no added parabens. ALMOND OIL: Known to nourish and strengthen your hair ALOE VERA: Known as an effective hydrating agent for dry scalp. COCONUT OIL: Known to keep hair hydrated and healthy. How to use Brylcreem Bold Hold Hair Wax - Apply small dab onto the palm of your hand. Rub hands together spreading evenly until transparent. Try to also get it between your fingers. Rake your hair backwards. Squeeze your hair for texture. About Brylcreem - Brylcreem is a classic men’s grooming brand established in 1928 in the UK, originally sold to barbers to keep hair in place after a cut. It gained prominence in popular culture when members of the British Royal Air Force were nicknamed ‘Brylcreem Boys’ during world war II. Brylcreem is synonymous with Style + Care and endorsed by successful men. Do check out Brylcreem’s entire beard and hair grooming range and give your style the care it needs."
Household,"Ustraa Hair Wax for styling, 100g Color:Brown   Product Description Formulated with natural ingredients, Hair wax helps you style your hair and get a matte look. Since it contains no harmful chemicals, it keeps your hair safe but stylish.The wax contains China Clay which helps in styling your hair as desired and also retains the natural oil of the hair, thereby not letting the hair dry.Hair hygiene is taken care by the presence of Lemon essential oil which comes with antibacterial and antiseptic properties. Hair Wax is SLS and Paraben free and contains no harmful chemicals.For hair styling, apply on your hair and style as desired. Easy to wash off with water, no shampoo required. From the Manufacturer                   Product Description  Ustraa’s Beeswax & coconut based hair wax is completely natural and will keep your hair exactly the way you intend it to. For all rascals married or in a relationship this will be that one thing that listens to you, no questions asked. We also have added Lavender oil which nourishes hair, improves blood flow in the scalp and moisturizes hair. All this while making your hair look sexy.           How to Use  • Take in small quantities as per the size of your hair and style required • For a straight set look use lesser quantity • For a spike use more quantity • Wash off before sleeping           SLS & Paraben Free  Our products are completely free of harmful chemicals such as SLS and Parabens.       Not tested on animals, only on Rascals  None of our products has been tested on animals or contain any animal products, we ensure product safety & strict quality controls and for the same reason we fulfil quantities across the country from a central warehouse, directly under our supervision.       No Harmful Chemicals  Our entire range is based on essential oils and not on artificial fragrances. Essential oils have legendary rejuvenation, relaxations and medicinal properties.                       About the Startup        Describe your product in 3 words. Set is straight   How did you come up with the idea for this product? We needed a hair wax without harmful chemicals which damages the hair, something which is water based easy to apply, easy to wash at the same time a shine with good hold.   What makes your product special? Water Based, easy to wash off, you can even sleep with the hair wax on and it won't damage your hair. With lemon essential oil & china clay, this is one of the best things that can happen to your hair.   What has been the best part of your startup experience? A start up is a high energy environement. The best part of being in a start up is that you can try new things without worrying. A Start up tries to improve or provide a better solution to an exisiting problem. For us it was the lack of world quality men's grooming products that was the trigger. Yes, it was a big challenge. It is an entirely new category, but we were convinced that we could deliver. It was a lot of hard work, a lot of research a lot of sleepless nights a lot of working with trained cosmetologists but the end result are so so worth it."
Household,Kalaram MG5 Japan Hair Wax Mg5 japan hair wax keeps your hairstyle intact through the day without keeping it too stiff or becoming hard on the edges. It ensures a smooth and shiny finish to keep your casual look as cool as it can get. Natural hair movement style your hair to suit your mood every day and let your hair move naturally without much hassle | weight: 100 g.
Household,"Gatsby Leather Styling Wax, Mat And Hard, 75g Style name:Mat and Hard   For trendy young men who want to create hairstyles that suit their personality.Long-lasting effect. It has a re-styling ability. Can create a voluminous Hirajuku style with rich expression. Provides volume by making hair curly with a strong styling ability. Arrrange desired hairstyle without stiffness and stickiness."
Household,"Beardo Strong Hold Hair Wax, 75g"
Household,"Bodycare Chocolate Hot Wax 600 Grams (Pack Of 2) Wax Heaters Are Also Ok. During Excessive Humidity Sprinkle Ordinary Talc On Skin, Then Apply Wax. Apply Melted Wax With A Knife Or Spatula In The Direction Of Hair Growth. Place A Strip Of Cloth Over The Wax-Press Firmly And Pull In The Opposite Direction. Repeat The Process In Quick Steps. Do Not Allow Wax To Cool Off. Clean Skin With Wet Sponge Or Cloth. Use The Body Cares After Waxing Cream For Soothing And Cooling Effect Of Depilated Skin."
Household,"Set Wet Studio X Hair Styling Wax For Men - Freestyle Matte 70 gm Celebs are always ahead of the trend-setting curve with their dapper and suave looks, all thanks to expert styling. Its their X factor that separates the best from the rest! Set Wet Studio X, co-created with top celeb stylist Aalim Hakim is that X factor for your daily grooming routine. An expert grooming range for men who want to sport that celeb look everyday. Keep your style game effortlessly on point. Take the spotlight and be the trend. Set Wet Studio X Styling Wax For Men - Freestyle Matte is a unique hair styling wax that does a mighty fine job in styling and restyling your hair, for a freestyle natural matte look. Talk about versatility! Now look and feel like a celebrity, everyday."
Household,"UrbanGabru Zero To Infinity Hair Wax, 100 g"
Household,"BODYCARE Chocolate Hot Wax-600 g with 30 Strips and Stainless Steel Knife Chocolate Wax Melts easily, spreads evenly, Sticks Properly & Pulls of Painless, in a jerk Chocolate Wax Strips-Clean. No Mess. No Threading. DIRECTION OF USE : Wash skin clean and dry thoroughly. Boil water in a pan-slowly place wax tin in it with lid and cover the pan. Keep for 5 minutes. It is now ready for use and tolerable to touch. Avoid direct heating on flame. Wax heaters are also ok. During excessive humidity sprinkle ordinary talc on skin, then apply wax. Apply melted wax with a knife or spatula in the direction of hair growth. Place a strip of cloth over the wax-press firmly and pull in the opposite direction. Repeat the process in quick steps. Do not allow wax to cool off. Clean skin with wet sponge or cloth. Use The Body Cares After Waxing Cream for soothing and cooling effect of depilated skin."
Household,The BodyCare Hot Chocolate Wax 600Gms (2Pcs) + 60 Pcs Waxing Strips + 1 Waxing Knife
Household,"OZOmax Automatic Wax Heater/Warmer with Auto Cut-Off (Multicolor) It will reach the proper temperature suitable for heating the oil or melting the wax then cut-off automatically and again power-on automatically when the wax or oil is getting cold. Unbreakable Body, portable and easy to use are some of its salient features."
Household,"Gatsby Leather Styling Wax, Hard And Free, 75g For trendy young men who want to create hairstyles that suit their personality.Long-lasting effect. It has a re-styling ability. Perfect for a modern and British style with texture. Can give the hair active movement with styling abilities to flow, bundle and make the hair stand up in a subtle manner. Creates a MESSY SCRUNCH Hairstyle which has more texture and flow. Arrange desired Hairstyle without stiffness and stickiness."
Household,Man Arden Hair Fiber Wax - Strong Hold with Matte Finish - 50gm
Household,"Swaha Vanaspati Ghee Diya (12 cm x 10 cm x 5 cm, Set of 100, White) The Swaha Easy Diya is made from Vanaspati ghee. The big size wicks burn for approximately 30mins. They are perfect for daily puja, where you can do the puja and by the time you leave home you're sure the wick has finished burning. Especially in homes that are made out of wood, these wicks serve the purpose and reduce danger to the home. When you open the box, the wicks have a mild flavour which is a combination of camphor, sandalwood and jasmine. These wicks are a replacement for your handmade ghee diyas, so there won't be any strong smells when you burn it. Of course, there's no wax. After it's fully burnt, there will be a small black dot left in the lamp. Throw it away and your lamp is ready for your next meditation."
Household,"TejasCare Lamp Wicks -10 Bundles He light symbolizes knowledge, positivity and tranquility, and lighting diyas or earthen lamps on daily basis is considered highly auspicious. It is said that regular lighting of diyas removes darkness, ignorance and evil.since the light of a ghee lamp is believed to bring in prosperity, knowledge and wisdom, it is a rule in india to start all the auspicious religious events or social functions by lighting the lamp. By doing so it is believed that we invite the divine to come and bless us."
Household,"anshatrandcraft Candle Making Wicks (7inch) - 24 Pieces Color Name:7"" Wick 24 Pcs   A candle wick is a piece of string or cord that retains the flame of a candle. A consistent burning candle is dependent on the size of wick. candle wicks are commonly made up of braided cotton. Wick comes in various sizes according to your requirement."
Household,"Phobis Pack of 200 Candle Wick Sustainers Wick Tabs for Candle Crafts Item Package Quantity:200   candle wick sustainers made by mixture of aluminium and iron. sustainers are very good in quality . This wick tabs are very useful and must have for homemade candles.Great for wick sticker and wicks.You can pre-measure and cut your wicks, put and thread them through, pinch the center with a pair of plyers, Tape to the bottom of your candle jar."
Household,"Airwick Freshmatic Complete Kit - Automatic Air Freshener - Summer Delights (250 ml) Style name:Airwick Freshmatic   We know, a lot of thought and affection goes into everything you fill your home with. Just as you carefully choose its furnishings, textures and colors, you also should choose the right mix of fragrances to express your home’s story. Now, bring everything together with Air Wick that gives a finishing and lasting touch to the mood you’ve designed for your home. Let the scent tell your home’s unique story by setting the perfect ambience that your family and friends will remember you for. No matter where you live, every home is beautiful when Airwick is in the Air. As the seasons change, so does the air. But Air Wick offers you a rich palette of fragrances, so you can easily adapt the the changes while you remain in your own comfortable fresh smelling home. Freshmatic Automatic Freshness: Airwick Freshmatic is a one of its kind perfunctory air freshener device that releases fresh fragrance automatically keeping your home fresh always. Air Wick Freshmatic delivers regular and consistent bursts of wonderful fragrance throughout the day, so your home is always ready for a surprise guest visit. Also, because each spray is a controlled dose, you get the same level of fragrance from the beginning of the refill to the end. Discover the magic of automatic freshening with Airwick Freshmatic. Just insert the refill and batteries in the device and set the timer. It releases bursts of pleasant fragrance automatically to keep your home smelling fresh and alive all the time. You can also control the fragrance intensity with the help if its 3 time settings, spraying every 10 mins, 28mins and 38 mins. With its new slim design, you can place it anywhere in your home. Each refill delivers 25 times more sprays than an ordinary room spray and lasts for upto 60 days at low fragrance intensity setting. Life Scents Life Scents is the first of its kind, constantly changing fragrance that creates a true-to-life experience in your home. The multi-layered scent will keep reminding you of why you love your space and the way you want your home to feel. By changing the fragrances, you’ll always experience a fresh lift in your surroundings. Airwick Freshmatic Life Scents will truly help define your home. This fragrance is made from essential oils - extracted from fruits, flowers and plants that helps inspire the mood you want to create for your home. Your home, just like life, is ever changing. It must be full of energy, freshness and activity. But the fast paced modern life makes it hard to stop and embrace things that help make your home a home. And we believe, fragrances tie a home together and the new Airwick Life Scents works to evoke all that’s good into your home, making it the center of your life. Life Scents is the first of its kind, constantly changing fragrance that creates a true-to-life experience in your home. The multi-layered scent will keep reminding you of why you love your space and the way you want your home to feel. By changing the fragrances, you’ll always experience a fresh lift in your surroundings. Airwick Freshmatic Life Scents will truly help define your home."
Household,"Silverlight Candles Floating Paper Oil Wick (Pack of 400 Pieces) Manufacturers, of Silverlight Candles, tealight candles, spiral candles, wax rings, paraffin wax, gel wax, microcrystalline wax, incense sticks, sealing wax, floating oil wicks and industrial wax products."
Household,"PHOBIS Candle Making Wick (1.5 INCH) (300 Pieces) Item Package Quantity:300   This wick is use for candle making like decorative, gel and tea light candle. Thread is fully coated by wax, it is to burn and no smoke produce. This is eco friendly wick."
Household,"Veeana Floating Oil Wicks (Parsi Vat) Set of 1 Pack (500 Wicks) Best quality oil floating wicks from Veeana widely known as Parsi Vat, these unscented wicks are offered in a 500-piece per pack. Burning time of these wicks is depends on how much oil is used. These floating wicks do not produce smoke. Suitable for celebrating any occasion or festival. Can be used indoors and outdoors. Sitting alone or beside a loved one, amidst a cluster of flickering candle lights is an experience like no other. Gift yourself a few minutes of calm and serenity by lighting these wicks. These wicks are suitable for various festivals, occasions, home decor, parties etc Made from Premium Quality Wax. This set of 1 pack contains total 500 pieces of wicks."
Household,Shubhkart Pure Desi Ghee Wicks (100 Wicks)
Household,"ECOF Long Cotton Wicks , 500 Pcs (3IN, White)- Pack of 2 Featuring Get long cotton wicks useful for bhagwan's pujas coming in a pack of 2."
Household,Shubhkart Pure Desi Ghee Wicks (50 Wicks) Weight in pound : 0.27Length (Inch) : 2.68Breadth (Inch) : 2.68Height (Inch) : 2.76Dimensions (LXBXH) in Inches : 2.68 X 2.68 X 2.76
Household,"Asian Hobby Crafts Cotton Candle Wicks Thread (3 Inch) Pack of 50 Color:3"" 50pcs   Asian Hobby Crafts candle wicks are pre tabbed and pre waxed wicks used for candle making. Available in 3"", 5"" and 7"" sizes for you to choose from according to your requirements. Low smoke production guaranteed. Made from braided cotton and firm base."
Household,"PHOBIS Candle Making Cotton Wick (5inch)- 100 Pieces Item Package Quantity:100   This wick is use for candle making like decorative ,gel and tea light candle. Thread is fully coated by wax , it is to burn and no smoke produce . This is eco friendly wick."
Household,"Asian Hobby Crafts Candle Wicks for DIY Candle Making (24 Pieces) Asian Hobby Crafts candle wicks are pre tabbed and pre waxed wicks used for candle making. Available in 3"", 5"" and 7"" sizes for you to choose from according to your requirements. Low smoke production guaranteed. Made from braided cotton and firm base."
Household,Vc Cotton Wicks 1000 Pieces Pack Cotton Wicks 1000 Pieces Pack
Household,"anshatrandcraft Candle Making Wicks 5 Inches Wick- 50 Pieces Color Name:5"" Wick 50 Pcs   A candle wick is a piece of string or cord that retains the flame of a candle . A fine standard with consistent burning candle is dependent on the and size of wick .candle wicks are commonly made up of braided cotton . Wick comes in various sizes according to your requirement ."
Household,"ULTNICE White Fiberglass Replacement Tiki Torch Wicks for Outdoor Wine Bottles and Oil Lamps 10PCS DescriptionThis item is a set of 10pcs wicks. Fiberglass wicks are superior to cotton wicks. No harm to health. These Wicks can be trimmed and are well woven, excellent oil absorption with perfect burning effect. Can be used for oil lamp wicks, tiki torches, wine bottle lights and make a perfect backyard project.Features - Color: As shown.- Material: Fiberglass.- Total length: About 25cm.- Diameter: About 1.27cm.Package Including10 x fiberglass wick"
Household,"Kudoz Enterprises Sunshine Crafts Ceramic Large Dinning Bowls (Set of 4) When it comes to food, it is not just about good taste but also about good presentation. Kudoz is here to assist you with the presentation of your dishes. Use our bowls for the same or for mid-meal snacking. It comes in a set of 6 pieces. Kudoz Enterprises makes special crockery for your kitchen and dining table, taking the level of its beauty a notch higher."
Household,"Scrafts 4 Pcs Set Multicolor Multipurpose Ceramic Jar with Lids to Hold Chutney/Pickle/Spices/Tea/Sugar/Coffee/Ketchup/Cereals Ceramic/Porcelain Dinning Table Storage Container/Size:LH(inch)-3x4 Color Name:Multi   These jars have been used for serving pickle, chutney, sauces etc. Bring home this artistic piece and place them on your dining table thereby relishing the essence of Old India. Features: - Can be used to store chutney, pickle or sauces. Storage and dining has never been this appealing and convenient. Choose a ceramic jars and sets to take your dining experience a notch up. Ceramic Pickle Jar is also one such classy piece which will add to your kitchen collection. Easily washable at home, this is very appealing and microwave safe. NOTE : The jar comes with a lid. Size:LH(inch)-3x4, Package Contains: 4pcs Set Ceramic Jar With Lids"
Household,"Caffeine Teaset Ceramic Stoneware in Green Ferrous (Kettle, Sugar & Milk Container, Cups with Saucer) -Set of 15 Piece Caffeine ceramic handmade tea set. Set of 15 component-kettle, sugar and milk container and cups with saucer. These are preferable for indian style guest welcoming of tea times because for us it has always been more than just tea. Design: ferrous. Mettallic of handmade teaset. Color: metallic green. All colors and glaze used on our dinnerware are food safe as its protected by ecoglaze. Craft: vitrified stoneware that does not absorbs moisture, is more hygienic and has better heat retention properties. Each design is handcrafted under glaze prolonging the life of product, improving stain and metal mark resistance and chip resistance durability. Completely lead proof. Dimension: kettle-17*17*9.5, sugar- 10*10*5.5, milk-10*10*5.5, cup-9*9*6.5 and saucer-11*11*1 (L*B*H in cm). Product care: avoid scratching with hard bristled brushes. Dishwasher safe in mild cycle. Microwave/induction safe. Not suitable for direct burner. Only use indirect sources of heat. Do not put it in pre-heated oven/microwave. Do not refrigerator at high refrigerator temperature. Disclaimer: slight and minor color change could be noticed as each product is individually made by hand. Flash used in the shoot and difference in screen resolutions could also be a reason."
Household,"Webby DIY Kitchen Ceramic Tea Set for Kids - 15 Pieces FULL MINI TEA SET: This tea set for children is perfect for little girls who not only want a beautiful mini ceramic tea set for dolls and tea parties, but are also artistic and want to have a great time designing their own custom set!COMPLETE CRAFT SET: This tea pot set comes with all the supplies needed to make a full doll sized tea set. Includes a teapot, a sugar pot, a milk pot, 4 cups, 4 saucers, 6 pots of colours, and a paintbrushPRETEND TEA SET: Have a great time playing pretend with the tea set and invite all your dolls over for a tea party! This extra large tea set will be thrilling to play with and reminder of the fun time they had painting it!"
Household,"Rolling Nature Good Luck Air Purifying Live Pink Syngonium Plant in White Bucket Dew Ceramic Pot Cute Little Living Plants In Are Perfect Table Top Decor! The Five Lobed Shape Of Syngonium Podophyllum/ Goosefoot Leaves Represents The Five Feng Shui Elements; Water, Fire, Earth, Wood And Metal. Thus It Perfectly Balances Yin And Yang Energy And Encourages Positive Chi Or Energy. It Also Cleanses The Air. The Goosefoot, Or Syngonium Podophyllum, Has The Inspiring; 'Upward' Wood Energy, Which Is Associated With The East Or Southeast. Place It On A Desk Or Workstation To Let Its Spirit Of Spring; Dawn, Youth And New Ideas Aid Inspiration. Syngonium Is An Easy To Care For Plant That Is Well Adapted To Indoor Environments. As A Young Plant, Its Leaves Start Out Heart-Shaped, Then Gradually Become Arrowhead Shaped As It Matures. Its Dark-Green Leaves Have Silvery White, Green Or Pink Or Cream Variegation, Making This A Decorative And Popular House Plant. Light: Bright Light, But No Direct Sun. Can Tolerate Low Light, But The Leaves May Lose Their Variegation. Turn Pot Regularly For Even Growth. Water: Keep The Potting Mix Moist In Summer, Allowing The Surface To Dry Out Before Watering Again. Water Less Often In Winter, Letting The Top Half Of The Potting Mix, Dry Out.Important: Upon Delivery Please Remove Any Packaging From The Plant. Water Thoroughly, As The Plant May Have Been In Transit For Several Days. Assured Safe Packaging And Secure Delivery. Bring Your Garden Inside With Elegant Indoor Plants In Embossed Ceramic Pots From Rolling Nature. Rolling Nature'S Aroez Ceramic Pot Collection Designs Are Inspired By Italian Sgraffito Pottery. The Pot Is Made From Quality Ceramic To Ensure Durability And Longevity. These Piece Of Arts With Beautiful Green Plants In Them Will Mesmerize You."
Household,AmazonBasics 6-Piece Dinner Plate Set An Amazon Brand.
Household,"Pure Source India Ceramic Aroma Burner with 10 ML Vanilla Aroma Oil and 4 Tea Light Candle Ceramic Aroma Burner with 4 Tea Light Candle and 10 ML aroma oil , good packed in gift box , suitable to use in home or to gift some one ."
Household,"Norpro Ceramic Butter Warmers, Set of 2, White Wonderful for butter and delicate sauces when serving seafood or vegetables. The ceramic dish maintains the heat, without scorching or curdling. Set includes two stands, two ceramic butter dishes and two tea lights. Each dish holds 3 ounces/1/3 cup.Dishwasher safe."
Household,"Yellow Chimes Bohemian Starfish Charms Beaded Bracelet Cum Anklet for Women and Girls Yellow Chimes brings exclusive Fashion Jewellery designs to you from renowned jewellery manufacturers all over the world. The Best Price is assured to you as we remove all middlemen margins and real-estate expenses by directly purchasing from international manufacturers. Thus, beautiful and contemprary Fashion Jewellery is made available at very reasonable prices to our valuable customers."
Household,"Caffeine Ceramic/Stoneware in Mustard Romani Teaset (Kettle, Sugar and Milk Container, Cups with Saucer) - Pack of 15 Caffeine Ceramic Handmade Tea set. Note: Set of 15 component-Kettle, Sugar & milk container and cups with saucer. These are superiorly preferable for Indian style guest welcoming of tea times because for us it has always been more than just tea. DESIGN: Romani. Glossy texture with romani happy dancing tribalmen motif on them, all hand done . COLOR: Glossy Mustard with Brown Detailing. All colors and glaze used on our Dinnerware are food safe as its protected by ecoglaze. CRAFT: Vitrified Stoneware that does not absorbs moisture, is more hygienic and has better heat retention properties. Each design is handcrafted under glaze prolonging the life of product, improving stain and metal mark resistance and chip resistance durability. Completely lead free. DIMENSION: Kettle-17*17*9.5, Sugar- 10*10*5.5, Milk-10*10*5.5, Cup-9*9*6.5 and Saucer-11*11*1 (L*B*H in cm). PRODUCT CARE: Avoid scratching with hard bristled brushes. Dishwasher safe in mild cycle. Microwave/Induction safe. Not suitable for direct burner. Only use indirect sources of heat. Do not put it in pre-heated oven/microwave. Do not freeze at high freezing temperature. DISCLAIMER: Slight and minor color change could be noticed as each product is individually made by hand. Flash used in the shoot and difference in screen resolutions could also be a reason."
